StockCode,ProductName,TotalSold,TotalRevenue,AvgPrice,OrderCount,UniqueCustomers,AvgDailyDemand,DemandStdDev,AnnualDemand,HoldingCost,EOQ,SafetyStock,ReorderPoint,CumulativeRevenue,CumulativePct,ABC_Category,CurrentStock,StockStatus
22423,REGENCY CAKESTAND 3 TIER,8434,99380.09999999999,12.473518742442565,1646,816,22.611260053619304,24.85808623378437,8253.109919571047,2.4947037484885133,257.0,109.0,267.0,99380.09999999999,1.665785686839357,A,678.0,OK
M,Manual,1820,97953.81,235.5439512195122,373,277,4.879356568364611,13.63728530603267,1780.965147453083,47.10879024390244,27.0,60.0,94.0,197333.90999999997,3.3076642386760113,A,146.0,OK
85123A,WHITE HANGING HEART T-LIGHT HOLDER,32186,88655.44,2.8741041452552243,2836,1122,86.28954423592494,54.831896653346185,31495.6836461126,0.5748208290510449,1047.0,239.0,843.0,285989.35,4.793685715938013,A,2589.0,OK
POST,POSTAGE,2212,48741.08,27.052615176151765,738,230,5.93029490616622,7.085479183840882,2164.5576407506705,5.410523035230353,89.0,31.0,73.0,334730.43,5.610672149088031,A,178.0,OK
21843,RETRO SPOT CAKE STAND,3192,33822.4,10.890180586907448,886,466,8.557640750670242,12.050047571238315,3123.5388739946384,2.1780361173814895,169.0,53.0,113.0,368552.83,6.177595203246312,A,257.0,OK
48138,DOOR MAT UNION FLAG,4912,33378.06,7.235651741293532,1003,527,13.168900804289544,15.262150173926635,4806.648793565683,1.4471303482587066,258.0,67.0,159.0,401930.89,6.7370703356165285,A,395.0,OK
20685,RED SPOTTY COIR DOORMAT,4452,30175.54,7.230390455531453,922,471,11.935656836461126,13.112307824614822,4356.514745308311,1.4460780911062907,245.0,57.0,141.0,432106.43,7.242865586624009,A,358.0,OK
85099B,JUMBO BAG RED WHITE SPOTTY ,15345,29813.55,1.9469635627530364,1461,647,41.13941018766756,33.29176623811758,15015.884718498659,0.3893927125506073,878.0,145.0,433.0,461919.98,7.742593247029557,A,1234.0,OK
84879,ASSORTED COLOUR BIRD ORNAMENT,16966,28555.42,1.6849367088607594,1163,594,45.48525469168901,42.951994782013415,16602.117962466487,0.3369873417721519,993.0,188.0,506.0,490475.39999999997,8.221232430504784,A,1365.0,OK
21754,HOME BUILDING BLOCK WORD,4784,28028.3,5.930704697986577,1174,508,12.82573726541555,11.293513691951542,4681.394101876675,1.1861409395973155,281.0,49.0,139.0,518503.69999999995,8.691036153447703,A,385.0,OK
